"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU137"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU138"	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Halosphaeriaceae"
"OTU139"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora"
"OTU140"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium polychromum"
"OTU141"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU142"	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium brachypenium"
"OTU143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"k:Fungi"
"OTU145"	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales"
"OTU146"	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella oryzae"
"OTU147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU148"	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales,f:Hydnodontaceae,g:Subulicystidium"
