"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU108"	0	0	0	0	0	0	0	0	62	100	9	11	83	475	257	363	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria"
"OTU109"	0	0	0	0	0	0	0	0	42	14	71	118	17	1610	25	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium"
"OTU111"	0	0	0	0	0	0	0	0	481	1087	296	0	10	95	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter"
"OTU112"	0	0	0	0	0	0	0	0	0	0	7	1607	21	0	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Labedaea"
"OTU113"	0	0	41	0	0	13	64	121	684	545	270	172	194	225	117	51	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax"
"OTU115"	0	0	0	0	0	0	0	0	92	458	0	0	0	8	9	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae"
"OTU117"	0	0	14	0	0	0	7	0	0	0	42	22	76	270	143	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"OTU118"	0	0	14	0	30	0	7	270	109	146	375	178	28	641	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pseudorhodoferax"
"OTU119"	0	0	0	0	0	0	0	0	0	22	37	1232	84	23	35	63	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
"OTU120"	0	0	0	0	0	0	0	0	143	30	6	15	0	407	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Cytophagia; o__Cytophagales"
