"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU134"	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Asanoa"
"OTU135"	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter"
"OTU136"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Inquilinus"
"OTU138"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__Reyranella"
"OTU140"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp4"
"OTU141"	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp3; o__; f__; g__Gp3"
"OTU145"	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Marmoricola"
"OTU146"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium"
"OTU148"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiales_incertae_sedis; g__Aquincola"
"OTU149"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium"
"OTU150"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae_1; g__Paenibacillus"
"OTU151"	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales"
"OTU154"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinocatenispora"
"OTU155"	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes"
"OTU156"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria"
"OTU158"	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
