#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.ReferenceOTU10	0	0	0	0	0	0	39626	0	0	0	0	0	497	441	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
New.ReferenceOTU4	0	0	0	0	0	0	3827	0	0	0	0	0	74	789	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Apiosporaceae; g__Arthrinium; s__Arthrinium_phaeospermum
New.ReferenceOTU5	0	0	0	0	0	0	452	0	0	0	0	0	7202	419	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Periconiaceae; g__Periconia; s__Periconia_byssoides
New.ReferenceOTU6	0	0	0	0	0	0	2043	0	0	0	0	0	1072	2117	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
New.ReferenceOTU7	0	0	0	0	0	0	25455	0	0	0	0	0	1279	13	0	0	Unclassified
New.ReferenceOTU0	0	0	0	0	0	0	143	0	0	0	0	0	389	7447	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
New.CleanUp.ReferenceOTU59	0	0	0	0	0	0	9	0	6	5	0	0	6	0	76	18	Unclassified
New.CleanUp.ReferenceOTU72	0	0	0	0	0	0	15	0	21643	0	0	0	0	29	30	7	k__Fungi; p__Ascomycota
New.CleanUp.ReferenceOTU111	0	0	0	0	0	0	543	0	0	0	6	0	0	0	0	27	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Gonatophragmium; s__Gonatophragmium_triuniae
New.CleanUp.ReferenceOTU80	0	0	0	0	0	0	0	16	0	0	0	0	18	5	0	0	k__Fungi; p__Ascomycota
New.CleanUp.ReferenceOTU91	0	0	0	0	0	0	0	8	7	0	0	36	0	7	0	1352	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Biatriosporaceae; g__Biatriospora; s__unidentified
New.CleanUp.ReferenceOTU92	0	0	0	0	0	0	0	23	0	130	0	0	0	5	5	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
New.CleanUp.ReferenceOTU97	0	0	0	0	0	0	0	8	36	0	0	0	12	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Cucurbitariaceae; g__Pyrenochaetopsis; s__Pyrenochaetopsis_leptospora
New.CleanUp.ReferenceOTU99	0	0	0	0	0	0	0	20	28	8	7	0	34	76	0	8	k__Fungi; p__Ascomycota
